name,link,cuisine,rating,address,from,tel,coordinate,description
9. Colony,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d8571637-Reviews-Colony-Singapore.html,"Asian, Singaporean",4.5,"7 Raffles Avenue Ritz Carlton Millenia Singapore The Ritz-Carlton, Millenia Singapore, Singapore 039799 Singapore","Marina Centre,0.7 km from Merlion Park",+65 6434 5288,"1.290708,103.859909","DetailsPRICE RANGES$40 - S$180CUISINESAsian, Singaporean, Chinese, Japanese, Indian, SeafoodSpecial DietsVegetarian Friendly, Vegan Options, Gluten Free OptionsView all detailsmeals, features, about"
10. Summer Pavilion,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d796940-Reviews-Summer_Pavilion-Singapore.html,"Chinese, Asian",4.5,"7 Raffles Avenue Ritz Carlton Millenia Singapore The Ritz-Carlton, Millenia Singapore, Singapore 039799 Singapore","Marina Centre,0.8 km from Merlion Park",+65 6434 5286,"1.290858,103.860275","Food and ambienceLocal cuisine, Chinese, Asian, Vegetarian Friendly, Vegan OptionsWe had barbecued Peking duck, double boiled sea whelk soup with fish maw and...... the exact name), and the London duck is a must try! Chun Wai was really a...Special Occasion Dining, Romantic, Groups, Business meetingsBack dining at SP again this time for special occasion of Birthday and Weddin...Anniversary dinner"
Uni Gallery by OosterBay,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d13186266-Reviews-Uni_Gallery_by_OosterBay-Singapore.html,"Japanese, Asian",4.5,"7500A Beach Road The Plaza #B1-310, The Plaza, Singapore 199591 Singapore","Crawford,1.1 km from Singapore Flyer",+65 9838 8209,"1.299350,103.860794","DetailsPRICE RANGES$12 - S$100CUISINESJapanese, AsianMealsLunch, Dinner, DrinksView all detailsfeatures, about"
11. Zazz Pizza,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d15684477-Reviews-Zazz_Pizza-Singapore.html,"Italian, Pizza",5,"1A Short Street #01-03 Campus 1a, Singapore 188210 Singapore",0.4 km from Little India,+65 8199 9909,"1.302406,103.850273","Food and ambienceItalian, Pizza, European, Neapolitan, Campania, Southern-ItalianGreat little wood fired pizzaHad the Margherita pizza, simple fresh ingredients, dough was perfect texture.There was even arancini, and that is pretty rare considering its uniquely Sic..."
12. Chef's Table by Chef Stephan Zoisl,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d8582472-Reviews-Chef_s_Table_by_Chef_Stephan_Zoisl-Singapore.html,"French, European",4.5,"61 Tras Street, Singapore 079000 Singapore","Outram,0.6 km from Chinatown",+65 6224 4188,,"DetailsPRICE RANGES$70 - S$110CUISINESFrench, European, Contemporary, CaucasianSpecial DietsVegetarian Friendly, Vegan Options, Gluten Free OptionsView all detailsmeals, features, about"
13. Paulaner Brauhaus Singapore,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d1018167-Reviews-Paulaner_Brauhaus_Singapore-Singapore.html,"German, Bar",4.5,"9 Raffles Boulevard Millenia Walk #01-01 Millenia Walk, Singapore 039596 Singapore","Marina Centre,0.8 km from Merlion Park",+65 6883 2572,"1.293155,103.858192","Mentioned inScintillating Singaporetripoto.comBy TripotoDetailsPRICE RANGES$14 - S$49CUISINESGerman, Bar, Central European, Brew Pub, InternationalView all details"
14. Waterfall Ristorante Italiano,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d3952172-Reviews-Waterfall_Ristorante_Italiano-Singapore.html,"Italian, Mediterranean",4.5,"22 Orange Grove Road Shangri-La Hotel Garden Wing, Shangri-La Hotel, Singapore 258350 Singapore","Tanglin,1.0 km from Singapore Botanic Gardens",+65 6213 4398,"1.311490,103.826447","Food and ambienceItalian, Mediterranean, European, Healthy, Vegetarian FriendlyExcellent seafood spaghetti with generous amounts of clams, mussels and prawns.We ordered caesar salad and the seafood stew (half a lobster, scallops, clams...Special Occasion Dining, Romantic, Groups, Business meetingsA nice birthday treatGreat ambience for a quiet or romantic dinner!"
15. Joie by Dozo,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d7596985-Reviews-Joie_by_Dozo-Singapore.html,Asian,4.5,"181 Orchard Road Orchard Central #12-01 Orchard Central, Singapore 238896 Singapore","Somerset,0.2 km from Orchard Road",+65 6838 6966,"1.300344,103.839264","DetailsCUISINESAsianSpecial DietsVegetarian Friendly, Vegan Options, Gluten Free OptionsMealsLunch, DinnerView all detailsmeals, features"
Momma Kong's,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d3916132-Reviews-Momma_Kong_s-Singapore.html,"Seafood, Asian",4.5,"34 Mosque Street, Singapore 059512 Singapore","Outram,0.2 km from Chinatown",+65 6225 2722,"1.283614,103.845253","Food and ambienceLocal cuisine, Seafood, Asian, SingaporeanGreat Singapore seafood restaurant with the best chilli mud crab and butter c...... steam and fried mantou), grilled squid to sambal kangkong, everything tas...Very tasty crabs and fried rice with prawns.... just steamed as well as other seafood such as prawns, crayfish and squid."
16. Tablescape Restaurant & Bar,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d13283486-Reviews-Tablescape_Restaurant_Bar-Singapore.html,"European, Grill",5,"10 Coleman Street Grand Park City Hall Level 3, Grand Park City Hall, Singapore 179809 Singapore","City Hall,0.2 km from City Hall Building",+65 6432 5566,"1.292493,103.850052","DetailsPRICE RANGES$14 - S$56CUISINESEuropean, Grill, ContemporarySpecial DietsVegetarian Friendly, Vegan Options, Gluten Free OptionsView all detailsmeals, features, about"
17. Akira Back,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d11890575-Reviews-Akira_Back-Singapore.html,"Japanese, International",4.5,"30 Beach Road, Access via Nicoll Highway JW Marriott Hotel Singapore South Beach, Singapore 189763 Singapore","Central Area/City Area,0.5 km from City Hall Building",+65 6818 1914,"1.294528,103.856033","Food and ambienceJapanese, International, Vegetarian Friendly, Vegan Options... that also offers a good selection of international dishes specially fish .I had the 5 course tasting menu that was a collaboration between chefs.Great food and service！Love Tuna pizza➕ wagyu beef .Bess was so nice then she...The dishes we ate were AB tuna pizza, perfect storm roll, short rib, and crab..."
18. NOX - Dine in the Dark,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d4611806-Reviews-NOX_Dine_in_the_Dark-Singapore.html,"European, Fusion",4.5,"269 Beach Road, Singapore 199546 Singapore","Central Area/City Area,1.1 km from Little India",+65 6298 0708,"1.300524,103.860275","DetailsCUISINESEuropean, FusionSpecial DietsVegetarian Friendly, Vegan Options, Gluten Free OptionsMealsDinner, After-hoursView all detailsmeals, features, about"
19. The Wine & Gourmet Friends,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d15142954-Reviews-The_Wine_Gourmet_Friends-Singapore.html,"Wine Bar, Asian",4.5,"48 Bukit Pasoh Road 01-01, Singapore 089859 Singapore","Central Area/City Area,0.5 km from Chinatown",+65 6224 1982,"1.279764,103.840401","Food and ambienceWine Bar, Asian, Singaporeancod fish and chips with mentaiko friesThe Iberico Pork Ribs was seasoned to perfection.Mussels were good as was pork roast.The fish and chips was well cooked and there was mentaiko on the fries as wel..."
20. Rise Restaurant,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d3471372-Reviews-Rise_Restaurant-Singapore.html,"International, Singaporean",4.5,"10 Bayfront Avenue Marina Bay Sands Marina Bay Sands Hotel Tower 1 Level 1, Singapore 018956 Singapore","Marina Bay,0.8 km from Marina Bay",+65 6688 5525,,"Food and ambienceLocal cuisine, International, Singaporean, Vegetarian FriendlyThe beef and duck liver were prepared with skill of master.From fresh sushi and sashimi, to Christmas roast turkey and prime beef, a wid...Special Occasion Dining, Groups, Business meetingsA wonderful birthday treat!Good business dinner with high quality wide spread of food"
Shang Palace,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d797464-Reviews-Shang_Palace-Singapore.html,"Chinese, Asian",4.5,"22 Orange Grove Road Shangri-La Hotel Shangri-La Hotel Singapore, Singapore 258350 Singapore","Tanglin,1.0 km from Singapore Botanic Gardens",+65 6213 4473,,"DetailsPRICE RANGES$70 - S$419CUISINESChinese, AsianSpecial DietsVegetarian Friendly, Vegan Options, Gluten Free OptionsView all detailsmeals, features, about"
21. Fat Belly,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d13112841-Reviews-Fat_Belly-Singapore.html,Steakhouse,4.5,"10 Jalan Serene Serene Centre Serence Centre #01-04, Singapore 258748 Singapore","Tanglin,1.7 km from Singapore Botanic Gardens",+65 6314 2247,"1.322736,103.813667","DetailsCUISINESSteakhouseMealsDinnerFEATURESReservations, Seating, Serves Alcohol, Table ServiceView all detailsfeatures"
22. Greenleaf Cafe,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d8758019-Reviews-Greenleaf_Cafe-Singapore.html,"Indian, Asian",4.5,"43, Cuff Road, Singapore 209753 Singapore","Central Area/City Area,0.3 km from Little India",+65 9783 7476,"1.306928,103.853455","DetailsCUISINESIndian, AsianSpecial DietsVegetarian Friendly, Vegan Options, Gluten Free OptionsMealsLunch, Dinner, BrunchView all detailsmeals, features"
23. Ma Cuisine,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d13923561-Reviews-Ma_Cuisine-Singapore.html,"French, European",4.5,"38 Craig Road, Singapore 089676 Singapore","Central Area/City Area,0.5 km from Chinatown",+65 6224 1838,,"DetailsPRICE RANGES$25 - S$555CUISINESFrench, European, Wine BarSpecial DietsVegetarian Friendly, Gluten Free OptionsView all detailsmeals, features, about"
24. Vianney Massot Restaurant,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d10122095-Reviews-Vianney_Massot_Restaurant-Singapore.html,French,4.5,"39 Hongkong Street, Singapore 059678 Singapore","Central Area/City Area,0.6 km from Chinatown",+65 6909 6360,"1.287378,103.847450",Mentioned inThe Hottest New Restaurants in SingaporeBy EaterDetailsPRICE RANGES$140 - S$558CUISINESFrenchView all details
25. Madame Fan,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d14056008-Reviews-Madame_Fan-Singapore.html,"Chinese, International",4.5,"32 Beach Road The South Beach The NCO Club, Singapore 189764 Singapore","Crawford,0.4 km from City Hall Building",+65 6818 1921,"1.294281,103.855156","Food and ambienceChinese, International, Contemporary, Vegetarian Friendly, Vegan OptionsExquisite Dim Sum cuisineI always order vegetable dumplings and crispy duck.Special Occasion Dining, Romantic, Groups, Business meetingsGood Experience and awesome place for business dinnerGood place to go for business lunch/dinner."
Lime House Caribbean,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d4480940-Reviews-Lime_House_Caribbean-Singapore.html,"Caribbean, Bar",4,"2 Jiak Chuan Road, Singapore 089260 Singapore","Outram,0.4 km from Chinatown",+65 6222 3130,"1.279680,103.841614","Food and ambienceCaribbean, Bar, Jamaican, Healthy, Vegan OptionsAmbience, service, and the bar all well worth a visit!!!... staff were delightful.Had the rice bowl goat curry and the baby back ribs.We had the spicy shrimp, calamari, goat curry, and a full rack of ribs with s...The ox-tail on crispy eggplant is awesome and the goat curry is still the best."
26. Elixir Boutique Roasters,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d17791963-Reviews-Elixir_Boutique_Roasters-Singapore.html,Cafe,4.5,"10 Jalan Serene, #01-03A Serene Centre, Singapore 258748 Singapore",1.7 km from Singapore Botanic Gardens,+65 6314 2247,"1.322771,103.813660","DetailsPRICE RANGES$4 - S$24CUISINESCafeMealsBreakfast, Lunch, BrunchView all detailsfeatures, about"
27. Bar-Roque Grill,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d4504877-Reviews-Bar_Roque_Grill-Singapore.html,"French, Steakhouse",4.5,"165 Tanjong Pagar Road #01-00 Amara Singapore, Singapore 088539 Singapore","Central Area/City Area,0.8 km from Chinatown",+65 6444 9672,"1.275679,103.843529","Food and ambienceFrench, Steakhouse, Bar, European, Grill, Vegetarian Friendly... Desserts: Tonka beans infused Creme Brûlée Chocolate Fondant & Praline He...We had foie gras from France, steak from Australia and awesome French wine.... wellington, prawn piri piri, roast chicken and probably the best truffle ..."
28. Chihuly Lounge,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d2196145-Reviews-Chihuly_Lounge-Singapore.html,"Bar, Wine Bar",4.5,"The Ritz-Carlton, Millenia Singapore 7 Raffles Avenue, Singapore 039799 Singapore","Marina Centre,0.8 km from Merlion Park",+65 6434 5288,"1.290500,103.860252","DetailsPRICE RANGES$22 - S$53CUISINESBar, Wine Bar, InternationalSpecial DietsVegetarian Friendly, Vegan OptionsView all detailsmeals, features, about"
29. Origin Grill,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d13355758-Reviews-Origin_Grill-Singapore.html,"European, International",4.5,"22 Orange Grove Road Shangri-La Hotel Shangri-La Hotel | Tower Wing, Singapore 258350 Singapore","Tanglin,1.0 km from Singapore Botanic Gardens",+65 6213 4595,"1.311216,103.826447","Food and ambienceEuropean, International, Contemporary, Fusion, Vegetarian FriendlyWe had the tomato with mozzarella, and duck breast as starters and both were...... Hokkaido Scallop with coconut chilli jam which is a seafood salad to share.Special thanks to Vin for her great introduction on the Wagyu beef platter an...... and a Hokkaido sea scallops salad and for mains we had their sampler of f..."
30. MTR Singapore,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d4304406-Reviews-MTR_Singapore-Singapore.html,"Indian, Healthy",4.5,"438 Serangoon Road Opposite Sri Srinivasa Perumal Temple, Singapore 218133 Singapore","Lavender,1.0 km from Little India",+65 6296 5800,"1.313126,103.856461","DetailsPRICE RANGES$3 - S$14CUISINESIndian, HealthySpecial DietsVegetarian Friendly, Vegan Options, Gluten Free OptionsView all detailsmeals, features, about"
Sushi Jiro @ Keppel Bay,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d15631006-Reviews-Sushi_Jiro_Keppel_Bay-Singapore.html,"Sushi, Japanese",,,,,,
31. My Awesome Cafe,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d6405257-Reviews-My_Awesome_Cafe-Singapore.html,"French, Bar",4.5,"38 Tanjong Pagar Rd, Singapore 088461 Singapore","Outram,0.4 km from Chinatown",+65 6475 2217,"1.279437,103.843857",Mentioned inSingaporean Sensation: A Review of the Six Senses Duxtonthepointsguy.comBy The Points GuyLayover in Singapore? There's Always Time for One More Mealfathomaway.comBy FathomA 2-day guide to Singapore’s buzzing nightlifeBy Visit Singapore
32. Soi Aroy,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d15150976-Reviews-Soi_Aroy-Singapore.html,"Asian, Thai",4.5,"The Shoppes at Marina Bay Sands, 2 Bayfront Ave, #B1-67, Singapore 018972 Singapore",0.9 km from Marina Bay,+65 6688 8690,"1.285395,103.859871","Mentioned inSingaporeBy DameTravelerFood and ambienceJapanese, Sushi, Asian, ContemporaryKing Crab starter was good, Edamame was too salty.The barbecued chicken, mushroom fried rice, surf and turf and lemon yuzu were...For mains, we had the crispy barbequed chicken and ginger honey-glazed salmon..."
33. Hummus & Grill,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d15773021-Reviews-Hummus_Grill-Singapore.html,"Arabic, Lebanese",4.5,"1 Fullerton Square Fullerton Hotel The Fullerton Hotel, Singapore 049178 Singapore","Central Area/City Area,0.7 km from Marina Bay",+65 6877 8911,"1.286365,103.853081","Mentioned inSingaporeBy DameTravelerDetailsCUISINESItalian, EuropeanSpecial DietsVegetarian Friendly, Vegan Options, Gluten Free OptionsView all details"
34. Red Sparrow,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d13958454-Reviews-Red_Sparrow-Singapore.html,"Asian, Vietnamese",4.5,"3B River Valley Road The Foundry Clarke Quay, Block B, #01-15, Near Clarke Quay Taxi Stand, Singapore 179019 Singapore","Central Area/City Area,0.7 km from City Hall Building",+65 6256 0334,"1.290981,103.845596","DetailsCUISINESSteakhouseMealsLunch, Dinner, After-hours, DrinksFEATURESReservations, Outdoor Seating, Seating, Serves Alcohol, Full Bar, Accepts Credit Cards, Table Service, Highchairs Available, Wheelchair Accessible, Wine and BeerView all detailsfeatures, about"
35. Odette,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d8800546-Reviews-Odette-Singapore.html,"French, European",4.5,"9 Temasek Boulevard Suntec Tower Two #01-512/513, Suntec Tower 2, Singapore 038989 Singapore","Marina Centre,0.8 km from Singapore Flyer",+65 9144 7482,"1.295072,103.858887","DetailsCUISINESJapanese, Asian, SoupsMealsLunch, DinnerFEATURESReservations, Seating, Serves Alcohol, Table ServiceView all detailsfeatures, about"
Carnivore Brazilian Churrascaria,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d3641009-Reviews-Carnivore_Brazilian_Churrascaria-Singapore.html,"Steakhouse, Brazilian",4.5,"22 Orange Grove Road, Shangri-La Hotel Mezzanine Level, Tower Wing, Shangri-La Hotel, Singapore 258350 Singapore","Tanglin,1.0 km from Singapore Botanic Gardens",+65 6213 4398,"1.311414,103.826393","DetailsPRICE RANGES$56 - S$140CUISINESChinese, Asian, InternationalMealsLunch, BrunchView all detailsfeatures, about"
36. Melt Cafe,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d785219-Reviews-Melt_Cafe-Singapore.html,"Indian, International",4.5,"320 Orchard Road Singapore Marriott Tang Plaza Hotel Singapore Marriott Tang Plaza Hotel, Singapore 238865 Singapore","Boulevard,1.6 km from Singapore Botanic Gardens",+65 6831 4605,"1.305278,103.832008","DetailsPRICE RANGES$21 - S$56CUISINESCafeSpecial DietsVegetarian Friendly, Vegan Options, Gluten Free OptionsView all detailsmeals, features, about"
37. Leo Cafe & Restaurant,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d2534383-Reviews-Leo_Cafe_Restaurant-Singapore.html,"Cafe, Asian",4.5,"31 Cuppage Road Cuppage Terrace Cuppage Rd, Singapore 229457 Singapore","Somerset,0.2 km from Orchard Road",+65 6235 6133,"1.302087,103.840446","DetailsPRICE RANGES$42 - S$63CUISINESIndian, AsianSpecial DietsVegetarian Friendly, Vegan Options, Gluten Free OptionsView all detailsmeals, features, about"
38. Lawry's The Prime Rib,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d867247-Reviews-Lawry_s_The_Prime_Rib-Singapore.html,"American, Steakhouse",4.5,"1 Cluny Road, Ginger Garden, (enter via Tyersall Avenue) Singapore Botanic Gardens, Singapore 259569 Singapore","Tanglin,0.5 km from Singapore Botanic Gardens",+65 8444 1148,"1.311375,103.815025","Mentioned inA week in Singapore for the whole familyBy Visit SingaporeDining With A View: 10 Picture-Perfect Halal Restaurants In Singaporehavehalalwilltravel.comBy Have Halal Will TravelFood and ambienceLocal cuisine, Asian, Singaporean, Halal, Vegetarian FriendlyGreat food, great service and great ambience"
39. Mitzo,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d7366408-Reviews-Mitzo-Singapore.html,"Chinese, Asian",4.5,"501 Orchard Road Wheelock Place #02 -04/05 Wheelock Place, Singapore 238880 Singapore","Novena,1.4 km from Singapore Botanic Gardens",+65 6262 6400,"1.304745,103.830597","Food and ambienceLebanese, Mediterranean, Middle Eastern, Arabic, Vegan Options, Halal... rather large normal order), the Falafel and the Shish Taouk, made up of g...Best Angus Ribs and Tomahawk Steaks You Will Ever Get AnywhereWe had a delicious dinner of lamb chops and vegetable moussaka followed by ho...Lamb shoulder!!"
40. il Cielo,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d2616599-Reviews-Il_Cielo-Singapore.html,"Italian, European",4.5,"80 Middle Road Level 1, InterContinental Singapore, Singapore 188966 Singapore","Central Area/City Area,0.7 km from City Hall Building",+65 6825 1008,"1.298326,103.855042","DetailsPRICE RANGES$21 - S$42CUISINESAsian, InternationalSpecial DietsVegan OptionsView all detailsmeals, features, about"
Earlybird,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d14045239-Reviews-Earlybird-Singapore.html,"Cafe, Fusion",4.5,"Blk 11 Dempsey Road #01-18, Singapore 249673 Singapore","Tanglin,1.0 km from Singapore Botanic Gardens",+65 6776 6118,"1.304130,103.810112","Food and ambienceAsian, Vietnamese, Vegetarian Friendly, Vegan OptionsYummy Mud crab noodles!Loved the savoury pancakes and the grilled meats, especially the chargrilled...The lobster and prawns were fresh and juicy.... done n blend very well with the egg The Vietnamese pancakes is a must try."
41. Yan Ting,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d1173585-Reviews-Yan_Ting-Singapore.html,"Chinese, Asian",4.5,"2 Bayfront Avenue Marina Bay Sands The Shoppes at Marina Bay Sands, B1-71 , Galleria Level, Singapore 018972 Singapore","Marina Bay,0.9 km from Marina Bay",+65 6688 8517,"1.285390,103.859489","Food and ambienceAmerican, Steakhouse, Gluten Free OptionsAwesome Japanese Wagyu filet mignonExquisite Beef and great experienceSpecial Occasion Dining, Romantic, Groups, Bar Scene, Business meetingsPerfect all Special Occasion36th Anniversary Dinner"
42. Whitegrass,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d10005598-Reviews-Whitegrass-Singapore.html,"French, Fusion",4.5,"60 Race Course Road, Singapore 218567 Singapore","Little India,0.3 km from Little India",+65 6256 2448,"1.308476,103.851128","DetailsPRICE RANGES$14 - S$28CUISINESIndian, AsianSpecial DietsVegetarian Friendly, Vegan Options, Halal, Gluten Free OptionsView all detailsmeals, features"
43. Rhubarb,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d7060741-Reviews-Rhubarb-Singapore.html,"French, European",4.5,"64 Tras Street #01-01, Singapore 079003 Singapore","Outram,0.6 km from Chinatown",+65 6222 6861,"1.277706,103.844307","Food and ambienceFrench, European, Vegetarian Friendlythe amuse-bouche is good (cauliflower cream and ratatouille toast) and the br...It comes with a lobster tartare and croutons - Atlantic crab: 3 layers of cra...Lobster Bisque was heavenly and my main dish of Atlantic Cod in a beurre blan...Highlights were beef tartare, pea soup, scallop and crab."
44. Cassia Restaurant,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d816569-Reviews-Cassia_Restaurant-Singapore.html,"Chinese, Asian",4.5,"93 Stamford Road National Museum of Singapore, Singapore 178897 Singapore","Museum,0.5 km from City Hall Building",+65 6338 8770,"1.296764,103.848969","DetailsCUISINESEuropeanSpecial DietsVegetarian Friendly, Gluten Free Options, Vegan OptionsMealsLunch, Dinner, Brunch, After-hoursView all detailsmeals, features"
